id,from_point_lat,from_point_lon,to_point_lat,to_point_lon
25085,19.126746,73.005239,19.163883,73.073828
6355,19.155107,73.078723,19.191819,72.834875
25470,19.148564,73.076892,19.211427,72.976298
25745,19.236249,73.130225,19.119677,72.905081
20757,19.344153,72.881086,18.992748,72.831068
17450,19.06966,72.822583,19.109529,73.018021
12108,19.13343,72.913268,19.160857,73.001356
25832,19.164209,73.07442,19.141322,72.830952
15022,18.934662,72.836778,18.93526,72.837151
25964,19.164652,73.074489,19.191821,72.972387
18084,19.188534,72.988925,19.119984,72.867964
20785,19.40559,72.827895,19.103987,72.869814
9713,19.009422,73.019865,19.159557,73.000106
24498,19.214872,72.986077,19.01071,72.831387
24582,19.156511,72.963773,19.143028,72.854317
24227,19.032242,73.019209,18.997419,72.828723
11295,19.047322,73.069905,19.173808,72.860594
14743,19.173318,72.836248,18.534459,73.851955
25810,19.127868,72.844205,19.155107,73.078723
11827,19.118518,72.859017,19.047322,73.069905
13695,19.017791,72.862384,19.111153,73.01553
26966,19.144815,73.079417,19.033654,73.06565
11709,19.117301,72.88404,19.267938,72.971154
25844,19.290323,72.867056,19.154869,72.857899
4976,19.156511,72.963773,19.155021,72.852933
10887,19.38244,72.832153,19.115491,72.872695
11957,19.102769,73.009001,19.123131,72.875636
12472,19.391928,72.839732,19.068789,72.870265
20982,19.2834,72.955838,18.998569,72.825294
24679,19.125733,72.856775,,
25138,19.168069,73.073876,18.995191,72.831173
11140,19.119075,72.895115,18.962351,72.818313
12564,19.211703,72.839543,19.141322,72.830952
7099,19.026471,73.059516,19.068789,72.870265
23251,19.222972,72.978125,19.15545,72.853769
24346,19.050854,73.073919,19.114247,73.013904
5610,19.213678,72.990345,19.079961,72.898767
25394,19.163208,73.002117,19.168069,73.073876
11891,19.214785,72.977449,19.15545,72.853769
7379,19.461882,72.777658,19.07937,72.85626
17394,19.05505,72.829851,19.006313,72.824136
14186,19.182755,72.840154,19.068789,72.870265
11439,19.168647,72.835299,19.081297,72.85632
25522,19.230828,72.974107,18.99505,72.831223
9511,19.17531,73.239676,19.244687,73.013962
24646,19.155021,72.852933,19.202271,72.818313
25539,19.124204,72.91438,19.172921,72.835427
9520,19.075389,72.997172,19.19824,72.949009
11352,19.046713,73.025001,19.093355,72.852672
5355,19.218331,72.97809,18.989401,73.117516
26070,19.028245,72.841113,19.10358,72.884559
13061,19.156511,72.963773,19.155149,72.867855
9525,19.087215,73.010664,19.195473,72.965249
11215,19.207684,72.953808,19.170157,73.001578
11531,19.15545,72.853769,19.146699,72.789075
26468,19.168069,73.073876,19.766637,74.476858
26981,18.934662,72.836778,19.094896,72.886525
23831,19.155107,73.078723,19.002823,72.82829
24358,19.256439,72.854634,19.119386,72.91164
5584,19.216438,72.972209,18.989086,72.814013
26474,19.164652,73.074489,19.123463,72.926124
11421,19.054855,72.888215,19.145798,72.853629
13068,19.204004,72.834337,19.11383,73.011693
26538,19.164652,73.074489,19.132691,72.925425
26692,19.164209,73.07442,19.075468,72.876681
6010,18.990361,72.83413,19.155021,72.852933
7919,19.105049,73.003906,18.929595,72.82542
10293,19.047322,73.069905,19.106771,72.922542
26894,19.168032,73.079981,19.107884,73.013617
17871,19.047322,73.069905,18.925903,72.821567
15399,19.295891,72.848198,19.176732,72.882753
24973,19.103247,72.836766,19.050265,72.889064
5582,19.221513,72.958254,18.990089,72.814701
18649,19.022917,72.868559,19.15545,72.853769
13210,19.220113,72.974845,19.116612,72.910285
17918,19.168069,73.073876,18.935287,72.82724
24196,19.003727,73.015492,19.063593,72.862348
23749,19.174415,73.069304,19.232737,72.967582
26168,19.070321,72.987933,19.122152,72.890835
12576,19.258365,72.85311,19.063593,72.862348
5715,18.546329,73.903314,19.1548,72.856256
23771,19.153783,73.077965,19.203261,72.971877
25946,19.295233,72.85439,19.11117,72.854419
27507,19.168032,73.079981,19.104555,72.886243
7496,19.287139,72.868842,19.182755,72.840154
27630,19.003985,72.830084,19.155107,73.078723
26309,19.168069,73.073876,19.103528,72.887962
26416,18.934662,72.836778,19.118421,72.863997
16180,19.164652,73.074489,19.118294,73.027588
8685,19.202271,72.818313,19.070081,72.855979
14822,19.167502,73.072256,19.155149,72.867855
6069,19.1548,72.856256,19.063133,72.998918
26398,19.145843,73.079598,19.13343,72.913268
25501,18.934662,72.836778,18.987202,72.829046
13596,19.144275,72.93762,19.111153,73.01553
27694,19.147793,73.076699,19.095109,72.925348
7861,19.210831,72.874741,19.003885,72.827453
15935,19.214785,72.977449,19.173318,72.836248
26409,19.144815,73.079417,19.159372,72.99845
7794,19.201042,72.875946,,
22628,19.141981,72.93061,19.176732,72.882753
26495,19.165822,73.075433,19.015292,72.845662
5608,19.281085,72.855994,,
5236,19.1548,72.856256,19.075389,72.997172
17120,19.06008,72.897162,19.163208,73.002117
7425,19.009422,73.019865,18.987202,72.829046
8233,19.033328,73.018021,19.175462,72.990219
18670,19.305601,72.859376,19.123463,72.926124
5823,18.982092,72.827986,19.068789,72.870265
10058,19.287139,72.868842,19.112994,72.854494
7617,19.285376,72.869432,19.092108,72.911754
7222,19.18872,72.872586,19.062952,72.861802
7500,19.247437,72.847117,19.148542,72.832492
10431,19.029072,72.877532,19.125732,72.853265
7527,19.180874,72.857456,19.068789,72.870265
12522,19.081416,72.885149,19.19834,72.953714
8730,19.196392,72.987468,19.043443,72.91163
27839,19.111824,72.860754,19.102095,73.0097
8115,19.196462,72.876025,19.155149,72.867855
5369,,,19.079202,72.891423
16386,17.494793,78.399644,17.448009,78.377274
24790,19.168032,73.079981,19.04935,72.887738
5804,19.224061,72.866647,19.119884,72.846539
8482,19.175758,72.8734,19.209203,72.965987
7762,19.191883,72.832046,19.152626,72.855648
26902,19.148158,73.077622,19.112095,73.009995
27853,,,19.063791,72.996951
27012,19.203508,72.964696,19.167557,72.853612
17589,19.164652,73.074489,19.160857,73.001356
6420,19.284674,72.871856,19.111841,72.910729
6520,19.108257,72.879292,19.068789,72.870265
23656,19.224865,72.969696,19.093078,72.913991
27038,19.269491,72.965199,19.146416,72.857293
14044,19.131689,72.935193,19.090806,72.907667
27855,,,19.107273,72.880932
11329,19.221844,72.98762,19.080826,72.853131
15870,19.128448,72.930265,19.009398,72.835764
8823,19.093413,72.883734,19.15545,72.853769
14116,19.021324,72.842418,19.068789,72.870265
25871,19.168069,73.073876,18.906703,72.814712
27857,19.168069,73.073876,19.157935,72.993476
27864,19.148564,73.076892,18.932245,72.826438
5964,19.205716,73.09553,19.226661,72.983837
12739,19.279855,72.874071,19.071087,72.863069
12783,19.168069,73.073876,19.204321,72.968314
18465,19.211883,72.872983,19.156464,72.85416
26186,19.166736,73.074146,,
12710,19.119677,72.905081,19.060692,72.83625
17380,19.080826,72.853131,18.93526,72.837151
12985,19.0899,73.003226,19.00463,72.826353
23729,19.159372,72.99845,19.063061,72.998905
16243,19.107778,72.836184,19.176732,72.882753
24683,18.998569,72.825294,19.043241,73.025489
9846,19.138491,72.871584,19.04197,73.02676
11840,19.077064,72.998993,18.985439,72.834562
8139,19.147936,72.947869,19.211453,72.873722
27868,,,19.019441,72.843212
9245,19.174058,72.860746,19.131689,72.935193
11842,19.077064,72.998993,18.987792,72.827897
18259,19.062153,72.864194,19.187667,72.842778
25323,19.259137,72.98444,19.119386,72.91164
14146,19.25998,72.969349,19.109529,73.018021
7479,19.155149,72.867855,19.030066,73.035114
10252,19.213678,72.990345,19.15545,72.853769
24856,19.166054,72.965479,19.07992,72.846624
6491,19.287139,72.868842,19.136325,72.82766
9764,19.058891,73.079634,18.963215,72.815424
15619,19.102059,72.999754,19.17639,72.881112
27873,19.164652,73.074489,18.969302,72.803659
8153,12.922937,77.673216,12.982196,77.725804
10490,19.253298,72.972307,19.154904,72.943501
12118,19.221227,72.989532,19.221227,72.989532
9876,19.281364,72.869112,19.176732,72.882753
27454,19.04275,72.926586,19.116605,73.005018
18392,19.156464,72.85416,19.212233,72.873264
26427,19.070954,73.072891,19.083599,72.845452
10662,19.203579,72.827725,19.169545,72.85431
27458,19.155107,73.078723,18.989086,72.814013
27878,19.148564,73.076892,19.116612,72.910285
8956,19.199821,72.842594,19.199821,72.842594
8187,,,19.119185,72.869977
17483,19.266046,72.98455,19.131689,72.935193
27494,19.149157,72.990149,19.129593,72.877686
11885,19.211865,72.985876,19.141322,72.830952
6054,19.281489,72.856948,19.155021,72.852933
9057,19.047322,73.069905,19.155149,72.867855
8195,18.657133,73.765907,18.551576,73.890256
8783,19.214872,72.986077,19.127511,73.007608
18877,18.929793,72.827432,19.047322,73.069905
7354,,,,
11996,19.114009,72.859213,19.155363,72.999011
16613,19.218331,72.97809,19.116472,73.006858
6049,18.991488,73.116151,19.123198,72.913123
8420,19.050401,73.065618,19.062684,72.900956
15686,19.174415,73.069304,19.064211,72.997895
16363,19.172554,72.942537,19.211453,72.873722
6053,19.06237,72.841024,19.090473,72.837969
13082,19.016622,73.096602,19.068789,72.870265
18712,19.182769,72.858378,19.295891,72.848198
16629,19.064318,73.00035,19.173707,73.069409
20828,19.047646,73.070131,19.077759,72.863147
14770,19.104062,73.003514,19.068789,72.870265
7738,19.287139,72.868842,19.082526,72.868555
27521,19.06062,73.013962,19.181146,72.858526
11256,19.284864,72.867881,19.103059,72.923171
5140,19.030479,72.841502,19.15545,72.853769
25717,19.298876,72.866744,19.17671,72.836653
25298,19.168069,73.073876,19.149544,72.93555
13887,19.107626,73.004712,19.000566,72.846074
22152,19.253298,72.972307,18.928611,72.822101
13158,19.055281,72.889208,19.154325,72.853035
13184,19.366637,72.816098,19.194762,72.834126
25838,19.167502,73.072256,19.064455,72.861261
13954,19.062204,72.913599,19.126027,72.872871
25867,19.168032,73.079981,19.159372,72.99845
14766,19.10308,73.010641,19.068789,72.870265
13186,19.371782,72.821663,19.195491,72.837516
13454,19.072547,72.837778,18.939821,72.835468
21852,,,19.068789,72.870265
25399,19.154546,73.079057,19.119648,72.907938
27529,19.148158,73.077622,19.174698,72.991957
16320,19.25998,72.969349,18.982094,72.823902
13188,,,19.189649,72.835526
16817,19.172554,72.942537,19.155149,72.867855
14410,19.224061,72.866647,19.073555,73.009756
14952,18.97935,72.820064,19.095036,73.01043
18212,19.1141,72.894985,19.23527,72.976255
21839,19.031042,73.065001,19.07541,72.876975
15349,19.287139,72.868842,19.176732,72.882753
26018,19.222972,72.978125,19.117796,72.871158
6136,19.03403,73.075207,19.062148,72.859196
7836,19.157935,72.993476,19.237188,72.844136
18815,19.160857,73.001356,19.113712,73.019806
10278,19.016622,73.096602,19.06555,73.000336
7398,19.207087,72.868533,18.999394,72.852278
6299,19.29543,72.848707,19.184086,72.832109
5855,19.246164,72.850906,19.076277,72.8654
10404,19.180259,72.86128,19.050949,72.828564
7406,19.199821,72.842594,19.068789,72.870265
5909,19.164652,73.074489,19.024376,72.844683
6179,19.256955,72.983598,19.06014,72.859686
10832,19.033328,73.018021,19.146237,72.856246
27275,19.115491,72.872695,19.157935,72.993476
22827,19.266046,72.98455,19.131689,72.935193
16115,19.217757,72.979583,19.005366,72.822566
7365,19.119677,72.905081,18.925573,72.824222
13057,19.016622,73.096602,19.150269,72.853025
7263,18.929891,72.833254,19.169689,72.953909
8135,19.117591,72.880085,19.17639,72.881112
8205,19.114274,72.89888,19.152626,72.855648
7928,19.22134,72.853133,19.120106,72.864471
19921,19.255917,72.971042,19.121435,72.871339
10262,19.125363,72.999201,19.149672,72.826101
10440,18.568169,73.832139,18.590429,73.771286
12682,19.136693,73.003076,19.1141,72.8619
5321,18.968869,72.820394,19.169223,72.866596
23187,19.271236,72.966911,,
8722,19.242051,72.971154,19.13412,72.837582
13854,19.060726,72.846737,19.110201,73.017458
21371,19.204321,72.968314,19.112193,73.016871
11480,19.115841,72.856397,19.154655,72.856093
9485,19.287139,72.868842,19.068789,72.870265
11841,19.243914,72.864989,19.12365,72.892389
8688,19.210144,73.079295,19.075219,72.905268
9951,19.176207,72.864744,19.115841,72.856397
9690,19.112656,73.005475,19.103059,72.923171
19006,19.231899,72.840418,19.173507,72.831654
5775,19.156511,72.963773,18.932471,72.831518
19126,19.054863,73.059713,19.0328,72.896357
9317,19.276014,72.859665,19.111062,72.865592
27020,19.236276,72.975899,19.007111,72.835421
13878,19.076277,72.8654,19.037921,72.922757
27098,19.301779,72.85026,19.199821,72.842594
19641,19.226661,72.983837,19.177356,72.865681
12958,19.246164,72.850906,19.119185,72.869977
9174,19.116101,72.939413,19.15545,72.853769
13039,19.224061,72.866647,19.068732,72.861862
6023,,,19.125328,73.013992
13891,19.182755,72.840154,19.230291,72.857682
19009,19.424158,72.811574,19.183445,72.832428
10554,19.246164,72.850906,19.136325,72.82766
11595,19.295589,72.858499,19.112092,72.855318
13636,19.167703,73.07434,19.077193,72.862087
26960,19.256955,72.983598,18.931373,72.831255
17238,,,,
11766,19.022589,73.08738,19.077926,72.862026
